N,P,T,X_ZN,component,internal_dof,vertex,NP,GM,MU,X,Y,Phase,NP(FCC_A1),NP(HCP_A3),NP(LIQUID)
1.0,101325.0,610.0,0.4,AL,0,2,,-24366.218080660525,-21096.415186761107,,,,,,
1.0,101325.0,610.0,0.4,AL,1,0,0.7167716691830354,-24366.218080660525,-21096.415186761107,0.5394902434545451,0.4605097565454549,FCC_A1,,,
1.0,101325.0,610.0,0.4,AL,1,1,0.28322833081696447,-24366.218080660525,-21096.415186761107,0.7531332655621319,0.2468667344378681,FCC_A1,,,
1.0,101325.0,610.0,0.4,AL,1,2,,-24366.218080660525,-21096.415186761107,,,,,,
1.0,101325.0,610.0,0.4,ZN,0,0,0.7167716691830354,-24366.218080660525,-29270.92241217301,0.4605097565454549,0.5394902434545451,FCC_A1,,,
1.0,101325.0,610.0,0.4,ZN,0,1,0.28322833081696447,-24366.218080660525,-29270.92241217301,0.2468667344378681,0.7531332655621319,FCC_A1,,,
1.0,101325.0,610.0,0.4,ZN,0,2,,-24366.218080660525,-29270.92241217301,,,,,,
1.0,101325.0,610.0,0.4,ZN,1,0,0.7167716691830354,-24366.218080660525,-29270.92241217301,0.4605097565454549,0.4605097565454549,FCC_A1,,,
1.0,101325.0,610.0,0.4,ZN,1,1,0.28322833081696447,-24366.218080660525,-29270.92241217301,0.2468667344378681,0.2468667344378681,FCC_A1,,,
1.0,101325.0,610.0,0.4,ZN,1,2,,-24366.218080660525,-29270.92241217301,,,,,,
1.0,101325.0,620.0,0.4,AL,0,0,0.873908193111833,-24955.507101475803,-21608.282429423234,0.5836429899164997,0.5836429899164997,FCC_A1,,,
1.0,101325.0,620.0,0.4,AL,0,1,0.126091806888167,-24955.507101475803,-21608.282429423234,0.7133660106834996,0.7133660106834996,FCC_A1,,,
1.0,101325.0,620.0,0.4,AL,0,2,,-24955.507101475803,-21608.282429423234,,,,,,
1.0,101325.0,620.0,0.4,AL,1,0,0.873908193111833,-24955.507101475803,-21608.282429423234,0.5836429899164997,0.4163570100835004,FCC_A1,,,
1.0,101325.0,620.0,0.4,AL,1,1,0.126091806888167,-24955.507101475803,-21608.282429423234,0.7133660106834996,0.28663398931650047,FCC_A1,,,
1.0,101325.0,620.0,0.4,AL,1,2,,-24955.507101475803,-21608.282429423234,,,,,,
1.0,101325.0,620.0,0.4,ZN,0,0,0.873908193111833,-24955.507101475803,-29976.34406097565,0.4163570100835004,0.5836429899164997,FCC_A1,,,
1.0,101325.0,620.0,0.4,ZN,0,1,0.126091806888167,-24955.507101475803,-29976.34406097565,0.28663398931650047,0.7133660106834996,FCC_A1,,,
1.0,101325.0,620.0,0.4,ZN,0,2,,-24955.507101475803,-29976.34406097565,,,,,,
1.0,101325.0,620.0,0.4,ZN,1,0,0.873908193111833,-24955.507101475803,-29976.34406097565,0.4163570100835004,0.4163570100835004,FCC_A1,,,
1.0,101325.0,620.0,0.4,ZN,1,1,0.126091806888167,-24955.507101475803,-29976.34406097565,0.28663398931650047,0.28663398931650047,FCC_A1,,,
1.0,101325.0,620.0,0.4,ZN,1,2,,-24955.507101475803,-29976.34406097565,,,,,,
1.0,101325.0,630.0,0.4,AL,0,0,1.0,-25550.62324786852,-22132.658271194443,0.6000000000000001,0.6,FCC_A1,,,
1.0,101325.0,630.0,0.4,AL,0,1,,-25550.62324786852,-22132.658271194443,,,,,,
1.0,101325.0,630.0,0.4,AL,0,2,,-25550.62324786852,-22132.658271194443,,,,,,
1.0,101325.0,630.0,0.4,AL,1,0,1.0,-25550.62324786852,-22132.658271194443,0.6000000000000001,0.3999999999999999,FCC_A1,,,
1.0,101325.0,630.0,0.4,AL,1,1,,-25550.62324786852,-22132.658271194443,,,,,,
1.0,101325.0,630.0,0.4,AL,1,2,,-25550.62324786852,-22132.658271194443,,,,,,
1.0,101325.0,630.0,0.4,ZN,0,0,1.0,-25550.62324786852,-30677.570712879624,0.4,0.6,FCC_A1,,,
1.0,101325.0,630.0,0.4,ZN,0,1,,-25550.62324786852,-30677.570712879624,,,,,,
1.0,101325.0,630.0,0.4,ZN,0,2,,-25550.62324786852,-30677.570712879624,,,,,,
1.0,101325.0,630.0,0.4,ZN,1,0,1.0,-25550.62324786852,-30677.570712879624,0.4,0.3999999999999999,FCC_A1,,,
1.0,101325.0,630.0,0.4,ZN,1,1,,-25550.62324786852,-30677.570712879624,,,,,,
1.0,101325.0,630.0,0.4,ZN,1,2,,-25550.62324786852,-30677.570712879624,,,,,,
1.0,101325.0,640.0,0.4,AL,0,0,1.0,-26150.33537667131,-22663.81595723115,0.6000000000000001,0.6,FCC_A1,,,
1.0,101325.0,640.0,0.4,AL,0,1,,-26150.33537667131,-22663.81595723115,,,,,,
1.0,101325.0,640.0,0.4,AL,0,2,,-26150.33537667131,-22663.81595723115,,,,,,
1.0,101325.0,640.0,0.4,AL,1,0,1.0,-26150.33537667131,-22663.81595723115,0.6000000000000001,0.3999999999999999,FCC_A1,,,
1.0,101325.0,640.0,0.4,AL,1,1,,-26150.33537667131,-22663.81595723115,,,,,,
1.0,101325.0,640.0,0.4,AL,1,2,,-26150.33537667131,-22663.81595723115,,,,,,
1.0,101325.0,640.0,0.4,ZN,0,0,1.0,-26150.33537667131,-31380.114505831545,0.4,0.6,FCC_A1,,,
1.0,101325.0,640.0,0.4,ZN,0,1,,-26150.33537667131,-31380.114505831545,,,,,,
1.0,101325.0,640.0,0.4,ZN,0,2,,-26150.33537667131,-31380.114505831545,,,,,,
1.0,101325.0,640.0,0.4,ZN,1,0,1.0,-26150.33537667131,-31380.114505831545,0.4,0.3999999999999999,FCC_A1,,,
1.0,101325.0,640.0,0.4,ZN,1,1,,-26150.33537667131,-31380.114505831545,,,,,,
1.0,101325.0,640.0,0.4,ZN,1,2,,-26150.33537667131,-31380.114505831545,,,,,,
1.0,101325.0,650.0,0.4,AL,0,0,1.0,-26754.53912494706,-23199.438587067394,0.6000000000000001,0.6,FCC_A1,,,
1.0,101325.0,650.0,0.4,AL,0,1,,-26754.53912494706,-23199.438587067394,,,,,,
1.0,101325.0,650.0,0.4,AL,0,2,,-26754.53912494706,-23199.438587067394,,,,,,
1.0,101325.0,650.0,0.4,AL,1,0,1.0,-26754.53912494706,-23199.438587067394,0.6000000000000001,0.3999999999999999,FCC_A1,,,
1.0,101325.0,650.0,0.4,AL,1,1,,-26754.53912494706,-23199.438587067394,,,,,,
1.0,101325.0,650.0,0.4,AL,1,2,,-26754.53912494706,-23199.438587067394,,,,,,
1.0,101325.0,650.0,0.4,ZN,0,0,1.0,-26754.53912494706,-32087.189931766545,0.4,0.6,FCC_A1,,,
1.0,101325.0,650.0,0.4,ZN,0,1,,-26754.53912494706,-32087.189931766545,,,,,,
1.0,101325.0,650.0,0.4,ZN,0,2,,-26754.53912494706,-32087.189931766545,,,,,,
1.0,101325.0,650.0,0.4,ZN,1,0,1.0,-26754.53912494706,-32087.189931766545,0.4,0.3999999999999999,FCC_A1,,,
1.0,101325.0,650.0,0.4,ZN,1,1,,-26754.53912494706,-32087.189931766545,,,,,,
1.0,101325.0,650.0,0.4,ZN,1,2,,-26754.53912494706,-32087.189931766545,,,,,,
1.0,101325.0,660.0,0.4,AL,0,0,1.0,-27363.184288552555,-23739.475414714107,0.6000000000000001,0.6,FCC_A1,,,
1.0,101325.0,660.0,0.4,AL,0,1,,-27363.184288552555,-23739.475414714107,,,,,,
1.0,101325.0,660.0,0.4,AL,0,2,,-27363.184288552555,-23739.475414714107,,,,,,
1.0,101325.0,660.0,0.4,AL,1,0,1.0,-27363.184288552555,-23739.475414714107,0.6000000000000001,0.3999999999999999,FCC_A1,,,
1.0,101325.0,660.0,0.4,AL,1,1,,-27363.184288552555,-23739.475414714107,,,,,,
1.0,101325.0,660.0,0.4,AL,1,2,,-27363.184288552555,-23739.475414714107,,,,,,
1.0,101325.0,660.0,0.4,ZN,0,0,1.0,-27363.184288552555,-32798.74759931022,0.4,0.6,FCC_A1,,,
1.0,101325.0,660.0,0.4,ZN,0,1,,-27363.184288552555,-32798.74759931022,,,,,,
1.0,101325.0,660.0,0.4,ZN,0,2,,-27363.184288552555,-32798.74759931022,,,,,,
1.0,101325.0,660.0,0.4,ZN,1,0,1.0,-27363.184288552555,-32798.74759931022,0.4,0.3999999999999999,FCC_A1,,,
1.0,101325.0,660.0,0.4,ZN,1,1,,-27363.184288552555,-32798.74759931022,,,,,,
1.0,101325.0,660.0,0.4,ZN,1,2,,-27363.184288552555,-32798.74759931022,,,,,,
